Date,US,East_Coast,Midwest,Gulf_Coast,Rocky_Mountain,West_Coast,Dataset
2024-01-01,3.213,3.197,2.87,2.743,2.903,4.248,All Grades All Formulations
2024-01-01,3.055,3.156,2.841,2.77,2.955,3.892,All Grades Conventional
2024-01-01,3.522,3.275,3.029,2.691,2.705,4.451,All Grades Reformulated
2024-01-01,3.646,3.566,3.226,3.113,3.058,4.558,Midgrade All Formulations
2024-01-01,3.408,3.491,3.161,3.146,3.079,4.171,Midgrade Conventional
2024-01-01,3.987,3.694,3.467,3.057,2.977,4.726,Midgrade Reformulated
2024-01-01,4.0,3.91,3.663,3.431,3.378,4.724,Premium All Formulations
2024-01-01,3.784,3.844,3.595,3.494,3.391,4.366,Premium Conventional
2024-01-01,4.25,3.996,3.86,3.347,3.333,4.874,Premium Reformulated
2024-01-01,3.089,3.087,2.795,2.653,2.786,4.115,Regular All Formulations
2024-01-01,2.966,3.065,2.778,2.687,2.853,3.793,Regular Conventional
2024-01-01,3.354,3.13,2.893,2.583,2.526,4.317,Regular Reformulated
2024-01-08,3.197,3.186,2.844,2.767,2.881,4.205,All Grades All Formulations
2024-01-08,3.035,3.154,2.805,2.765,2.938,3.834,All Grades Conventional
2024-01-08,3.514,3.246,3.058,2.771,2.667,4.417,All Grades Reformulated
2024-01-08,3.632,3.557,3.208,3.143,3.035,4.517,Midgrade All Formulations
2024-01-08,3.394,3.491,3.132,3.147,3.061,4.124,Midgrade Conventional
2024-01-08,3.974,3.671,3.491,3.136,2.938,4.688,Midgrade Reformulated
2024-01-08,3.983,3.897,3.651,3.46,3.354,4.684,Premium All Formulations
2024-01-08,3.764,3.843,3.563,3.484,3.368,4.312,Premium Conventional
2024-01-08,4.237,3.966,3.908,3.426,3.305,4.839,Premium Reformulated
2024-01-08,3.073,3.075,2.768,2.676,2.765,4.072,Regular All Formulations
2024-01-08,2.945,3.063,2.742,2.682,2.838,3.734,Regular Conventional
